ForkLengthMM,R1FracAge,R2FracAge,R3FracAge,ConsensusFracAge
620,5.544843494,15.54484349,16.54484349,15.54484349
431,5.544843494,3.544843494,4.544843494,4.544843494
470,4.544843494,4.544843494,4.544843494,4.544843494
605,15.54484349,14.54484349,14.54484349,14.54484349
725,23.54484349,22.54484349,24.54484349,23.54484349
660,15.54484349,14.54484349,15.54484349,15.54484349
670,17.54484349,22.54484349,24.54484349,21.54484349
715,18.54484349,17.54484349,21.54484349,18.54484349
479,6.558533029,3.558533029,3.558533029,3.558533029
814,20.55853303,18.55853303,20.55853303,20.55853303
480,6.558533029,4.558533029,5.558533029,5.558533029
587,7.558533029,7.558533029,7.558533029,7.558533029
800,15.55853303,15.55853303,14.55853303,15.55853303
565,9.558533029,8.558533029,8.558533029,8.558533029
665,10.55853303,13.55853303,13.55853303,13.55853303
566,10.55853303,7.558533029,8.558533029,8.558533029
582,17.55853303,16.55853303,14.55853303,15.55853303
590,16.55853303,15.55853303,15.55853303,15.55853303
495,8.574960471,7.574960471,7.574960471,7.574960471
675,18.57496047,21.57496047,22.57496047,21.57496047
620,16.57496047,15.57496047,13.57496047,14.57496047
635,9.574960471,12.57496047,10.57496047,10.57496047
730,19.57496047,18.57496047,17.57496047,18.57496047
540,15.57496047,16.57496047,16.57496047,16.57496047
510,6.574960471,6.574960471,6.574960471,6.574960471
445,4.574960471,3.574960471,3.574960471,3.574960471
568,9.594125821,8.594125821,7.594125821,8.594125821
480,4.594125821,3.594125821,3.594125821,3.594125821
538,5.594125821,5.594125821,5.594125821,5.594125821
575,10.08761302,10.08761302,10.08761302,10.08761302
710,17.08761302,17.08761302,17.08761302,17.08761302
595,15.08761302,17.08761302,18.08761302,16.08761302
570,8.087613024,10.08761302,8.087613024,8.087613024
468,5.087613024,5.087613024,5.087613024,5.087613024
556,15.09582675,19.09582675,19.09582675,19.09582675
766,16.09582675,16.09582675,15.09582675,16.09582675
548,16.09582675,18.09582675,17.09582675,17.09582675
498,14.09582675,15.09582675,15.09582675,15.09582675
515,15.09582675,15.09582675,15.09582675,15.09582675
446,4.095826745,5.095826745,6.095826745,5.095826745
536,15.09582675,15.09582675,16.09582675,15.09582675
592,11.09582675,14.09582675,15.09582675,13.09582675
424,16.09582675,15.09582675,16.09582675,16.09582675
605,15.09582675,15.09582675,16.09582675,15.09582675
556,15.09582675,15.09582675,15.09582675,15.09582675
439,16.09582675,16.09582675,16.09582675,16.09582675
546,12.09582675,12.09582675,14.09582675,12.09582675
525,12.09582675,14.09582675,12.09582675,12.09582675
405,11.09582675,10.09582675,11.09582675,11.09582675
575,16.09582675,13.09582675,14.09582675,13.09582675
516,15.09582675,15.09582675,16.09582675,15.09582675
642,16.09582675,18.09582675,18.09582675,18.09582675
650,15.09582675,17.09582675,19.09582675,17.09582675
470,15.09582675,14.09582675,13.09582675,14.09582675
566,15.09582675,14.09582675,15.09582675,15.09582675
476,9.095826745,8.095826745,8.095826745,8.095826745
713,17.09582675,17.09582675,17.09582675,17.09582675
651,15.09582675,20.09582675,19.09582675,19.09582675
601,13.09582675,18.09582675,19.09582675,19.09582675
670,16.09582675,20.09582675,19.09582675,19.09582675
450,7.095826745,6.095826745,7.095826745,7.095826745
678,19.09582675,18.09582675,17.09582675,18.09582675
701,22.09582675,19.09582675,21.09582675,20.09582675
649,17.09582675,19.09582675,19.09582675,19.09582675
562,14.09582675,14.09582675,15.09582675,14.09582675
645,15.09582675,19.09582675,21.09582675,19.09582675
465,10.09582675,8.095826745,8.095826745,8.095826745
640,17.09582675,18.09582675,21.09582675,18.09582675
670,18.09582675,18.09582675,18.09582675,18.09582675
574,8.095826745,13.09582675,13.09582675,13.09582675
646,17.09582675,21.09582675,18.09582675,20.09582675
424,4.095826745,4.095826745,4.095826745,4.095826745
414,4.104040466,4.104040466,4.104040466,4.104040466
540,6.104040466,8.104040466,7.104040466,7.104040466
530,7.104040466,7.104040466,7.104040466,7.104040466
750,17.10404047,18.10404047,18.10404047,18.10404047
670,15.10404047,14.10404047,16.10404047,15.10404047
